1,10.45,NONSNSLSLSOLLNLSNSLSNSSSOLSOLOOONOLNOSSNOOOSLSSLOOSNSSLOLNNNSLSNLLNSNNSOOSSLLNNL
2,17.70,SSOSOLNOOSLOLSSOSLSSOLSOSNOOSOLONSLSOLONSLNSOLLSLSONSOOLLLONLONLNSSSLOLLOLNONLNL
3,17.70,SSOSOLNOOSLOLSSOSLSSOLSOSNOOSOLONSLSOLONSLNSOLLSLSONSOOLLLONLONLNSSSLOLLOLNONLNL
4,21.00,LLNONLSSLNSLNLSSOLLNLSLSNNNSOLLONNOSNNNSSNSOSSLLSLLOLNSOLOLLOLSNNSONSNONSNSLNSNN
5,21.00,NNSSSSOOSLLSLSLSOSNNNSSOOLSOLOONOONOOSSOLNSLSSLLOOSNSLLOLNOLONSSSLOSNNSOLNSLLOSL
6,21.00,NNSSSSOOSLLSLSLSOSNNNSSOOLSOLOONOONOOSSOLNSLSSLLOOSNSLLOLNOLONSSSLOSNNSOLNSLLOSL
7,33.15,SSNSLSLSLSNSLNLSNLLSONSLLLOLLOOONOLLOLOLSLSLOLOSOOONSLLLSSOLSLSOLLLLNNSOSLLNNSSO
8,33.15,SSNSLSLSLSNSLNLSNLLSONSLLLOLLOOONOLLOLOLSLSLOLOSOOONSLLLSSOLSLSOLLLLNNSOSLLNNSSO
9,33.15,SSNSLSLSLSNSLNLSNLLSONSLLLOLLOOONOLLOLOLSLSLOLOSOOONSLLLSSOLSLSOLLLLNNSOSLLNNSSO
10,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
11,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
12,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
13,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
14,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
15,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
16,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
17,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
18,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
19,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
20,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
21,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
22,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
23,48.70,SSNSLNSNSSLLNSNSOOLOSNSLLNNNSNNOSNLOSSOOSOSLSOLLSLLOONLOLOONLLSSNSONNNOLSOSSNNNN
